number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
16,0.8990024027257778,2026-01-04 03:23:13.617228,2026-01-04 03:23:15.891694,0 days 00:00:02.274466,40,1.8762700203432283,3.7262068517511873,4.246596253655116,1.7956164447347684,COMPLETE
33,0.8990024027257778,2026-01-04 03:23:56.628938,2026-01-04 03:23:58.939705,0 days 00:00:02.310767,48,2.3771794077723736,3.9955853638301697,4.115104350267581,1.7826627326674247,COMPLETE
71,0.8990024027257778,2026-01-04 03:25:17.125121,2026-01-04 03:25:18.823501,0 days 00:00:01.698380,49,2.7605552079985296,3.232499987688657,3.0840038331555175,1.6637986908545181,COMPLETE
4,0.8990024027257778,2026-01-04 03:22:43.225706,2026-01-04 03:22:45.543663,0 days 00:00:02.317957,42,2.23963421195243,3.223705789444759,3.278987721304084,1.7258603673633925,COMPLETE
53,0.8990024027257778,2026-01-04 03:24:43.084207,2026-01-04 03:24:44.857574,0 days 00:00:01.773367,39,2.884431615842811,3.369222982487404,4.959433097829823,1.7521233840617982,COMPLETE
160,0.8990024027257778,2026-01-04 03:28:15.369192,2026-01-04 03:28:17.563249,0 days 00:00:02.194057,50,2.994645264877802,3.7652625746382733,3.3217079597555337,1.6669340755981163,COMPLETE
162,0.8990024027257778,2026-01-04 03:28:20.082311,2026-01-04 03:28:22.347020,0 days 00:00:02.264709,42,2.403469651925245,3.332556596190762,3.246114067558708,1.6788641826712618,COMPLETE
191,0.8990024027257778,2026-01-04 03:29:32.795317,2026-01-04 03:29:34.611215,0 days 00:00:01.815898,50,2.9521132972598156,2.9988920450354795,3.101512270282111,1.695163230803957,COMPLETE
178,0.8990024027257778,2026-01-04 03:28:59.030218,2026-01-04 03:29:01.718672,0 days 00:00:02.688454,41,2.3196335236803693,3.901652403658014,3.244992599792878,1.5976958264009384,COMPLETE
118,0.8990024027257778,2026-01-04 03:26:48.407544,2026-01-04 03:26:50.078154,0 days 00:00:01.670610,43,2.5065477182781786,2.4440528382102533,3.09681342432066,1.6223614067929357,COMPLETE
117,0.8990024027257778,2026-01-04 03:26:46.665444,2026-01-04 03:26:48.299827,0 days 00:00:01.634383,38,2.0604489675275324,2.1509505485406466,3.2561657832694513,1.8654283204427693,COMPLETE
119,0.8990024027257778,2026-01-04 03:26:50.188210,2026-01-04 03:26:51.902656,0 days 00:00:01.714446,36,2.2480087244178084,2.0598023866873914,3.9016112310672857,1.5745951075426905,COMPLETE
86,0.8990024027257778,2026-01-04 03:25:47.808881,2026-01-04 03:25:49.513255,0 days 00:00:01.704374,39,2.6570684746113096,3.2335215249251443,3.710383640458948,1.6021994397682617,COMPLETE
103,0.8990024027257778,2026-01-04 03:26:19.793888,2026-01-04 03:26:21.501006,0 days 00:00:01.707118,37,2.663440059063606,3.3991790155441146,3.1517289135978146,1.6730496435294009,COMPLETE
120,0.8990024027257778,2026-01-04 03:26:52.048647,2026-01-04 03:26:53.698225,0 days 00:00:01.649578,36,2.1334713041137787,2.037502316800815,3.0618602292428827,1.618407922644846,COMPLETE
129,0.8990024027257778,2026-01-04 03:27:09.103113,2026-01-04 03:27:11.030197,0 days 00:00:01.927084,48,2.828050358136456,2.4322392239665556,3.356967787664086,1.669813215436625,COMPLETE
131,0.8990024027257778,2026-01-04 03:27:13.618959,2026-01-04 03:27:16.014367,0 days 00:00:02.395408,50,1.9392520390978343,2.1145169172479434,4.280212371916831,1.8187976502339944,COMPLETE
109,0.8990024027257778,2026-01-04 03:26:30.665619,2026-01-04 03:26:32.335870,0 days 00:00:01.670251,46,2.4552068896182235,3.0969304980328185,3.6267006043172523,1.5766863212019024,COMPLETE
142,0.8990024027257778,2026-01-04 03:27:34.721105,2026-01-04 03:27:36.700197,0 days 00:00:01.979092,38,2.2984596001494344,3.519344959349964,3.7587049353116857,1.5876472414625313,COMPLETE
51,0.8990024027257778,2026-01-04 03:24:39.408887,2026-01-04 03:24:41.164572,0 days 00:00:01.755685,50,2.1585613875267176,3.4541788734201577,3.6114092700077753,1.8070259386367455,COMPLETE
68,0.8990024027257778,2026-01-04 03:25:11.570624,2026-01-04 03:25:13.297761,0 days 00:00:01.727137,48,2.908824306434268,3.5367092840332233,3.6897938103969006,1.721685773360315,COMPLETE
36,0.8990024027257778,2026-01-04 03:24:04.350376,2026-01-04 03:24:06.710029,0 days 00:00:02.359653,49,2.8882113431132237,3.899589968954861,3.021033120745905,1.6245895550316787,COMPLETE
39,0.8990024027257778,2026-01-04 03:24:12.560027,2026-01-04 03:24:14.877362,0 days 00:00:02.317335,48,2.9705609666000896,2.0629654953272247,4.82576784681048,1.5827346532745536,COMPLETE
31,0.8990024027257778,2026-01-04 03:23:51.503906,2026-01-04 03:23:53.898796,0 days 00:00:02.394890,50,2.9808749320247516,3.4682284983545055,3.552382493140264,1.5806974155420845,COMPLETE
